"city","description","neighbourhood_cleansed"
"NYC","Sunny, quiet, cozy apt in a safe and lively Astoria neighborhood, 15 min to Manhattan and a 4 min walk to the Metro. Great restaurants, bars, cafes, grocery stores, and organic markets.  My place is good for couples, solo adventurers, and business travelers.The room features, TV 43"", Free Hi-Wifi,   A/C unit on the window.","Ditmars Steinway"
"NYC","With free Wifi, this fully furnished room with a smart TV and a mini fridge. Towels and bed linen are offered in the homestay. The accommodation offers air conditioning, heating, and a shared bathroom  at this peaceful and centrally-located place at the heart of Astoria.<br />Subway at the corner with 24 hours access, 15 minutes to Manhattan. <br />Guests have their own private bedroom and share the apartment with me, I'll stay at living room.","Ditmars Steinway"
"NYC","Hey friends! I travel some weeks/weekends and thought I'd try offering my bedroom for short stays while I'm out of town. I am located in the heart of Astoria, a very safe part of Queens, just fifteen minutes from Manhattan and close to top-notch food and drink. Also, I have no idea how to make pictures look good on this app, so just let me know if you have any questions about the space.","Astoria"
"NYC","Cozy one bedroom apartment next to Astoria Park.  Very Safe Location, fits 3 comfortably.  minutes away from manhattan.  Located in cozy residential area, Across the street from the famous Astoria Park  Train station and Restaurants a quick walk away","Ditmars Steinway"
"NYC","SUBLETTING THIS PLACE FROM 12/28 - 01/ 11. Only accept 7+ days guests<br /><br />This is a private bedroom in E 7th street and Ave 1 with a full size bed. <br />One block away from St Marks Place ( lots of great food<br />7-min walk to subway station. 10min to NYU","East Village"
"NYC","Welcome to Garden Place I, a Rove Travel Home!<br /><br />Rove offers beautifully designed residences with the quality and care of a 5-star hotel.","Brooklyn Heights"
"NYC","Clean, empty apartment.  There is only a futon available for sleeping.  Shower and refrigerator.   <br />1/2 block to B/Q Train Station and Prospect Park.","Prospect-Lefferts Gardens"
"NYC","This charming private garden room suite in a 19th century brick townhouse is in historic Bed-Stuy, Brooklyn, on a quiet tree-lined block. With 3 subway stops just a couple of blocks away — the J, C, and L — all of New York City is easily accessible. There is kitchen, garden, and bathroom access in the soothing, art-filled suite, as well as high-powered internet and TV. We'd be thrilled to welcome you into our private home, introduce you to the neighborhood, and offer plenty of recommendations.","Bedford-Stuyvesant"
"NYC","You will LOVE my light-filled studio on the Upper West Side - I live in a luxury building with a gym, game room, guest-accessible rooftop, doorman and more!","Upper West Side"
"NYC","Experience the quiet side of NYC at Westgate New York Grand Central, a historic Tudor-style retreat on 42nd Street. Just steps from the United Nations and Grand Central Terminal, this hotel offers a peaceful sanctuary with triple-pane windows. Relax in renovated rooms, some featuring rare private balconies with skyline views. Enjoy on-site dining at Tudor City Tavern, a 24-hour fitness center, and a convenient marketplace.","Midtown"
"NYC","Room in a newly renovated apartment in South Brooklyn on Fourth Ave, centrally located in a walkable neighborhood near local favorite restaurants and bars. Sleek furnishings and full utilities (including WiFi and streaming services) included in your monthly fixed rent. <br /><br />Don’t worry about the pesky parts of living in the city— enjoy in-unit laundry, air conditioner, stainless steel appliances, a weekly cleaning service, keyless entry, and even complimentary streaming services.","Gowanus"
"NYC","The property is ideally located close to all the action of the city. A number of the area's most popular attractions, including Rockefeller Center and Radio City Music Hall, are located within walking distance of the property.<br /><br />The property hot breakfast includes made-to-order Belgian waffles, fresh bagels and fruit, yoghurt, various pastries, muffins and breads, and hot and cold cereals and beverages.","Midtown"
"NYC","Experience a charming apartment in the heart of the Upper East Side on East 94th Street between 1st - 2nd Avenue (walk-up building). Perfect for couples, solo adventurers, business travelers, and families. Just steps from the Q subway station, Central Park, and the Guggenheim Museum. Discover designer stores and immerse yourself in the vibrant neighborhood. Book now and embrace the allure of the Upper East Side's prime location","Upper East Side"
"NYC","Beautiful spacious fully furnished room, in fully renovated apartment with hardwood floors,  high ceilings.   Artsy apartment in unique true New York style pre-war building with elevator.  Apartment is on second floor,  VERY SAFE neighborhood on a quiet street steps from the subway with an authentic New York vibe!","Harlem"
"NYC","Spacious house in Brooklyn, NY 11233. Features include high ceilings, hardwood floors, modern kitchen, and ample natural light. Conveniently located near public transit, parks, and dining. Ideal for comfortable living in Bedford-Stuyvesant.<br />This fully furnished apartment managed by Outpost Club, a premier CoLiving establishment in New York City","Bedford-Stuyvesant"
"NYC","Cozy and quiet apartment near F train, 20 minutes to downtown and very quiet .<br />Easy access from highway and free easy street parking. <br />3 blocks from prospect park for your morning run.","Windsor Terrace"
"NYC","Centrally located modern studio with lots of natural light comes with a balcony and access to the building gym.","East Village"
"NYC","I'm a Military Veteran, Senior Citizen <br />and have Cancer.<br /> I Depend on Airbnb to Save My Home<br />from Foreclosure<br /><br />>PRIVATE BATHROOM<<br /><br />> Better than those Fly by Night Cheap Hotels <br />that Pop Up<br /><br />The Best Area is Within 4 Blocks of Elmhurst Hospital<br /><br />My Neighborhood is ""Very SAFE"" Compared to Corona, Flushing, Woodside, Woodhaven, <br />& Farther East Elmhurst<br /><br />Centrally Located<br />Walk Only 4 Minutes to R, M, E, F, 7 Trains & Buses<br />SuperMarkets, Stores, Restaurants, Bars<br /><br />> I Never Charge a Cleaning Fee <","Elmhurst"
"NYC","1 BR, 1Bath apartment in the heart of Chelsea.<br /><br />Features include:  Dishwasher, living room, abundant closet space,  1 queen bedroom, designer furnishings, on site super and maintenance staff. the building has an elevator and there is a laundry room in the basement. <br /><br />All located in prime Chelsea, 1 block from C,E,1 trains, and 2 blocks from the F,M,R,W trains. Steps from high grade coffee, whole foods market, FIT, restaurants, clubs, galleries.","Chelsea"
"NYC","You'll have a great time at this comfortable place to stay.","Upper West Side"
"NYC","Huge 1 bedroom apartment on the 12th floor in the historic Park Slope neighborhood with a terrace and beautiful view of the entire city.  <br /><br />1 minute walk from F, R, N, Q, G subways.<br /><br />10 minute subway ride from downtown Manhattan.","South Slope"
"NYC","Entire duplex apartment (1st floor & basement) with 3 bedrooms and 1.5 bath in Ridgewood<br /><br />Top floor: 2 bedrooms, kitchen, living room, and bathroom w. shower<br /><br />Bottom floor: large bedroom w. queen bed, sofa, and half bath<br /><br />The apt building has laundry machines (coin-operated) and a roof deck!<br /><br />Close to the M train at Seneca Ave, L train at Dekalb Ave, and B38 bus<br /><br />Just a couple blocks away from Bushwick which is full of fun bars, great restaurants, and cool graffiti murals to check out!","Ridgewood"
"NYC","Here we have a newly renovated incredible 4 bedroom isolated apartment to welcome anyone. Friends and family will all feel cozy and enjoy all we have to offer. This space is great for friends or family who want to stay together. We offer many amenities to make you feel as if you never left you're own home. We are maintaining AirBNB cleaning guidelines before and after any stay, to ensure clean and safe place for our guests to feel at home.","Jackson Heights"
"NYC","Newly renovated 1 BR, 1Bath apartment in the heart of Chelsea.<br /><br />Features include:  Dishwasher, living room, abundant closet space,  1 queen bedroom, designer furnishings, on site super and maintenance staff. the building has an elevator and there is a laundry room in the basement. <br /><br />All located in prime Chelsea, 1 block from C,E,1 trains, and 2 blocks from the F,M,R,W trains. Steps from high grade coffee, whole foods market, FIT, restaurants, clubs, galleries.","Chelsea"
"NYC","Stay in the heart of Manhattan at NH Collection New York Madison Avenue, just minutes from Grand Central, Bryant Park, and Fifth Avenue. This landmark 1920s boutique hotel blends historic charm with European flair, featuring rooms with Empire State Building views, live jazz nights, and craft cocktails at MAD Bar & Lounge. Enjoy a prime Midtown location, 24-hour gym access, and elevated perks included in the resort fee.","Murray Hill"
"NYC","Bushwick/East Williamsburg<br /><br />4K HDTV with Netflix<br />Twin Size memory foam Mattress<br /><br />NO Smoking of any kind. <br /><br />2 blocks to Central Ave Station along M line. <br />20 Minute Train ride to lower Manhattan.<br />4 blocks to Dekalb Ave Station along L line.<br />20 mins to Union Square.<br />Citibike station half a block away.  <br /><br />Tea kettle bottled water and earplugs provided.<br /><br />Abundant eateries and bodegas nearby. <br /><br />CHECK-IN anytime after 1 PM.<br /><br />Subways run above ground here so you may hear them pass throughout the day.","Bushwick"
"NYC","Amazing Location.   2 blocks from the 1 train.  A lot of natural light in the living space and kitchen.   Spacious 2 bedroom, 1 bathroom.  Great for a family.","Upper West Side"
"NYC","This one bedroom apartment has a wonderful layout with a great flow from the kitchen to the living room. It is walking distance to many fantastic restaurants with a diverse variety of cuisines. Only two blocks from the 6 train, it is also easily accessible.","Kips Bay"
"NYC","The room in this apartment is quiet, and gets great light throughout the day. It's in a great, relaxed neighborhood in Brooklyn, only 30 minutes away from Union Square by subway.","Flatbush"
"NYC","Stunning bird eye views of downtown Manhattan, Hudson River and New Jersey from the comfort of your own corner studio in an exiquisite luxury building! Located in the heart of Financial District, 2 minutes from Ground Zero and 1, 4, 5 & R trains!","Battery Park City"
"NYC","This is a lovely large bright bedroom with queen sized bed, closet, TV, armchair, desk and dresser. Share with lovely roommates who are busy working, interning or studying in the city! Share two full bathrooms and the fully equipped kitchen for easy cooking.","Bedford-Stuyvesant"
"NYC","Be transported into a place in history where quality and refinement meet comfort and warmth. Blue Moon Hotel promises an experience that allows guests from around the world the ability to simultaneously lodge at our lovingly restored 1879 award-winning hotel while reveling in New York City’s most vibrant and artsy contemporary culture.  <br />  <br />THE SPACE:  <br />This NYC boutique hotel has been lovingly restored, historically preserved, and expertly designed. Famed architect Julius Böckel's LES 1879 historical building was given a second life as an award-winning stately hotel by artist Randy Settenbrino. The Blue Moon Hotel has been highlighted as one of the top 150 hotels in the Western Hemisphere by National Geographic, a #1 boutique hotel by NY Magazine, a #1 boutique hotel by Citysearch, and Rizzoli’s Best 100 Little Hotels by Alan Sperry!<br /><br />Please note that the images for this listing are a combination of different floor plans regarding the unit demographics. Your a","Lower East Side"
"NYC","Within the quaint family neighborhood of Gravesend lies this hidden gem. One room with shared bathroom and living room tightly nestled between the Q, B, and F train in Brooklyn, NY. A safe destination for people who want to explore the city but have the same peace you could enjoy in the suburbs. <br /><br />The apartment is a two bedroom home with one bedroom for guests and the other for the owner/wife. Feel free to use whatever in the home you need to enjoy your time in the city.<br /><br />Safe Travels!","Sheepshead Bay"
"NYC","This 4th floor apartment on St. Marks Place is nested among Tompkins Square Park, authentic restaurants with cuisine for every palate, great bars and timeless speakeasies, and the mysteriously charming allure that this symbolic street can provide. Close to NYU.","East Village"
"NYC","This beautiful room brags a queen bed and a chandelier.  It looks out into the backyard gardens and stays quiet.  The chimney was exposed and shelves built into it, giving the room character and extra storage. The room has a decent sized closet, a small dresser, and a table for your laptop.  The queen sized bed has a bed frame made out of an antique reclaimed door.","Bushwick"
"NYC","Apartment in Midtown close to Bloomingdales","Midtown"
"NYC","NO OVERNIGHT STAYS.  Only for day long photo & video shoots, print ads & magazine layouts.  <br /><br />For small shoots up to FOUR  including cast & crew. For bigger productions please contact us for fee.  <br /><br />Available from 10am - 5pm. Space features  living room, kitchen, dining area, backyard and deck.  <br /><br />Use of bathtub an additional fee. Please inquire.","Bedford-Stuyvesant"
"NYC","Great location. Large, modern, comfortable apartment 1 & 1/2 blocks from Broadway.  Steps away from Riverside Park. Five minute walk to the Subway. Safe area. Doorman building.","Upper West Side"
"NYC","Explore New York from this central hotel offering upscale amenities and walkable access to Madison Square Garden and the Empire State Building. The Premium Room elevates your stay with added space and upgraded finishes.","Hell's Kitchen"
